File,Type,Size(Bytes),LastModified,Source
.termux/termux.properties,ASCII text,27,2025-11-21 18:36:04.850402365 -0500,proot_home
.termux/services/ashleyana/run,a /data/data/com.termux/files/usr/bin/sh script,207,2025-10-07 18:54:21.264000101 -0400,proot_home
.termux/services/ashleyana/log/main/lock,empty,0,2025-10-07 19:01:51.968000127 -0400,proot_home
.termux/services/ashleyana/log/main/current,empty,0,2025-11-05 11:25:42.683300158 -0500,proot_home
.termux/services/ashleyana/log/main/@4000000068e5e5d53308a0ec.u,ASCII text,416,2025-10-07 19:14:35.552000173 -0400,proot_home
.termux/services/ashleyana/log/main/@40000000690b7a9028c994ec.u,ASCII text,386,2025-11-04 18:42:04.438584635 -0500,proot_home
.termux/services/ashleyana/log/run,a /data/data/com.termux/files/usr/bin/sh script,64,2025-10-07 18:54:21.300000101 -0400,proot_home
.termux/services/ashleyana/log/supervise/lock,empty,0,2025-10-07 19:01:51.936000127 -0400,proot_home
.termux/services/ashleyana/log/supervise/stat,ASCII text,4,2025-12-15 16:50:05.904000131 -0500,proot_home
.termux/services/ashleyana/log/supervise/status,data,20,2025-12-15 16:50:05.904000131 -0500,proot_home
.termux/services/ashleyana/log/supervise/pid,ASCII text,6,2025-12-15 16:50:05.904000131 -0500,proot_home
.termux/services/ashleyana/supervise/lock,empty,0,2025-10-07 19:01:51.936000127 -0400,proot_home
.termux/services/ashleyana/supervise/pid,empty,0,2025-12-16 04:54:22.271837991 -0500,proot_home
.termux/services/ashleyana/supervise/stat,ASCII text,5,2025-12-16 04:54:22.271837991 -0500,proot_home
.termux/services/ashleyana/supervise/status,data,20,2025-12-16 04:54:22.271837991 -0500,proot_home
.termux/boot/10-ashleyana.sh,a /data/data/com.termux/files/usr/bin/bash script,117,2025-10-07 19:04:22.264000136 -0400,proot_home
.termux/boot/00-pm2-startup.sh,a /data/data/com.termux/files/usr/bin/sh script,129,2025-11-08 09:28:07.772689782 -0500,proot_home
.termux/boot/start_autotrend.sh,a /data/data/com.termux/files/usr/bin/bash script,616,2025-11-11 12:01:57.982968958 -0500,proot_home
.termux/boot/start_ashleyana.sh,a /data/data/com.termux/files/usr/bin/bash script,381,2025-11-13 22:31:27.596002669 -0500,proot_home
.termux/boot/start-trinity.sh,a /data/data/com.termux/files/usr/bin/sh script,55,2025-12-05 11:07:17.896263993 -0500,proot_home
.termux/boot/start_trinity.sh,a /data/data/com.termux/files/usr/bin/bash script,492,2025-12-13 08:48:59.704000056 -0500,proot_home
.termux/terminal-settings.properties,ASCII text,37,2025-11-22 23:18:06.484373032 -0500,proot_home
.pm2/logs/trinity-out.log,Unicode text,76907,2025-12-14 17:59:29.980156304 -0500,proot_home
.pm2/logs/trinity-error.log,ASCII text,6845965,2025-12-13 21:35:33.361756401 -0500,proot_home
.pm2/logs/index-out.log,empty,0,2025-12-05 13:22:17.404264476 -0500,proot_home
.pm2/logs/index-error.log,ASCII text,17136,2025-12-05 13:22:29.120264476 -0500,proot_home
.pm2/pids/trinity-4.pid,ASCII text,5,2025-12-05 14:10:40.844264649 -0500,proot_home
.pm2/pids/trinity-0.pid,ASCII text,5,2025-12-14 17:59:26.764156303 -0500,proot_home
.pm2/module_conf.json,JSON text data,2,2025-11-19 04:23:00.546494182 -0500,proot_home
.pm2/touch,ASCII text,13,2025-11-19 04:23:00.626494182 -0500,proot_home
.pm2/pm2.log,ASCII text,6820379,2025-12-15 01:24:08.149419344 -0500,proot_home
.pm2/pm2.pid,ASCII text,4,2025-12-14 17:28:47.036156194 -0500,proot_home
.pm2/dump.pm2,JSON text data,17937,2025-12-15 01:24:08.129419344 -0500,proot_home
.pm2/dump.pm2.bak,JSON text data,17803,2025-12-15 01:24:08.129419344 -0500,proot_home
.lesshst,ASCII text,20,2025-12-13 19:16:05.088000890 -0500,proot_home
.bash_history,HTML document,20441,2025-12-15 01:24:07.385419344 -0500,proot_home
.bashrc,Unicode text,893,2025-12-07 09:59:50.886280795 -0500,proot_home
.ssh/authorized_keys,empty,0,2025-10-18 18:23:07.700751399 -0400,proot_home
.ssh/id_ed25519,OpenSSH private key,419,2025-12-05 23:34:29.382908153 -0500,proot_home
.ssh/id_ed25519.pub,OpenSSH ED25519 public key,104,2025-12-05 23:34:29.382908153 -0500,proot_home
.ssh/known_hosts,ASCII text,2084,2025-11-13 16:31:06.988001380 -0500,proot_home
.ssh/Keystone_deploy,OpenSSH private key,3414,2025-11-13 16:00:50.428001272 -0500,proot_home
.ssh/config,ASCII text,134,2025-12-02 01:59:42.185164538 -0500,proot_home
.ssh/known_hosts.old,ASCII text,1324,2025-11-13 16:31:05.876001380 -0500,proot_home
.ssh/Keystone_deploy.pub,OpenSSH RSA public key,725,2025-11-13 16:06:53.276001294 -0500,proot_home
keystone-payment-engine/config.php,PHP script,1773,2025-12-01 15:05:47.187054540 -0500,proot_home
keystone-payment-engine/db_init.php,PHP script,1256,2025-12-01 15:05:47.203054540 -0500,proot_home
keystone-payment-engine/functions.php,PHP script,3946,2025-12-01 15:05:47.223054540 -0500,proot_home
